call_id,agent_id,org_id,installment_id,status,duration,created_ts,call_date,missing_flag
C1993,A004,O3,L1412,failed,6.66,2025-04-28T03:43:00,2025-04-28,False
C4139,A008,O1,L1194,no_answer,1.92,2025-04-28T04:47:00,2025-04-28,False
C4006,A014,O3,L1285,no_answer,7.48,2025-04-28T08:31:00,2025-04-28,False
C8260,A003,O1,L1827,completed,0.61,2025-04-28T01:43:00,2025-04-28,False
C1241,A018,O1,L1992,completed,13.65,2025-04-28T08:04:00,2025-04-28,False
C7658,A006,O1,L1497,no_answer,3.96,2025-04-28T07:17:00,2025-04-28,False
C1960,A013,O1,L1168,no_answer,9.97,2025-04-28T00:04:00,2025-04-28,False
C5345,A013,O1,L1948,no_answer,4.74,2025-04-28T09:44:00,2025-04-28,False
C8973,A014,O3,L1158,connected,7.85,2025-04-28T10:07:00,2025-04-28,False
C1958,A007,O1,L1593,completed,8.25,2025-04-28T10:42:00,2025-04-28,False
C1821,A002,O1,L1598,no_answer,2.85,2025-04-28T17:09:00,2025-04-28,False
C3579,A017,O2,L1058,completed,14.55,2025-04-28T06:20:00,2025-04-28,False
C2113,A003,O1,L1691,connected,11.65,2025-04-28T13:46:00,2025-04-28,False
C5033,A004,O3,L1592,completed,14.1,2025-04-28T21:08:00,2025-04-28,False
C7868,A003,O1,L1673,failed,13.43,2025-04-28T08:54:00,2025-04-28,False
C6147,A007,O1,L1244,failed,9.01,2025-04-28T13:30:00,2025-04-28,False
C5915,A005,O3,L1468,failed,13.84,2025-04-28T02:28:00,2025-04-28,False
C8508,A001,O1,L1636,completed,1.42,2025-04-28T02:30:00,2025-04-28,False
C4492,A018,O1,L1518,failed,3.02,2025-04-28T04:31:00,2025-04-28,False
C2127,A012,O3,L1900,connected,0.77,2025-04-28T12:36:00,2025-04-28,False
C3584,A010,O3,L1448,failed,4.95,2025-04-28T20:52:00,2025-04-28,False
C1128,A017,O2,L1683,failed,5.89,2025-04-28T22:38:00,2025-04-28,False
C3200,A004,O3,L1270,completed,4.14,2025-04-28T03:39:00,2025-04-28,False
C3546,A018,O1,L1278,failed,12.45,2025-04-28T20:38:00,2025-04-28,False
C6617,A007,O1,L1208,failed,5.42,2025-04-28T17:15:00,2025-04-28,False
C5114,A016,O1,L1927,completed,4.29,2025-04-28T03:09:00,2025-04-28,False
C5533,A014,O3,L1045,completed,8.19,2025-04-28T11:23:00,2025-04-28,False
C5291,A005,O3,L1165,no_answer,2.2,2025-04-28T18:49:00,2025-04-28,False
C1158,A014,O3,L1114,completed,12.05,2025-04-28T23:35:00,2025-04-28,False
C9938,A005,O3,L1036,failed,1.21,2025-04-28T19:52:00,2025-04-28,False
C3426,A018,O1,L1440,connected,14.8,2025-04-28T01:25:00,2025-04-28,False
C6974,A010,O3,L1920,completed,11.61,2025-04-28T12:12:00,2025-04-28,False
C5088,A007,O1,L1682,completed,3.06,2025-04-28T12:04:00,2025-04-28,False
C7658,A018,O1,L1997,connected,0.18,2025-04-28T08:04:00,2025-04-28,False
C3900,A006,O1,L1902,no_answer,12.25,2025-04-28T00:50:00,2025-04-28,False
C6442,A006,O1,L1801,no_answer,10.63,2025-04-28T22:51:00,2025-04-28,False
C5371,A008,O1,L1163,completed,10.96,2025-04-28T13:03:00,2025-04-28,False
C8711,A002,O1,L1227,connected,11.59,2025-04-28T15:42:00,2025-04-28,False
C6000,A012,O3,L1840,connected,1.2,2025-04-28T07:36:00,2025-04-28,False
C4164,A001,O1,L1408,failed,5.44,2025-04-28T09:30:00,2025-04-28,False
C5573,A003,O1,L1359,no_answer,1.83,2025-04-28T23:11:00,2025-04-28,False
C6425,A018,O1,L1961,completed,12.96,2025-04-28T03:56:00,2025-04-28,False
C3925,A009,O3,L1594,failed,9.39,2025-04-28T01:18:00,2025-04-28,False
C8119,A004,O3,L1353,failed,5.03,2025-04-28T14:53:00,2025-04-28,False
C9379,A020,O2,L1118,no_answer,1.05,2025-04-28T19:40:00,2025-04-28,False
C5173,A007,O1,L1045,no_answer,4.73,2025-04-28T00:03:00,2025-04-28,False
C9821,A017,O2,L1703,connected,4.95,2025-04-28T12:25:00,2025-04-28,False
C2146,A014,O3,L1971,failed,10.97,2025-04-28T21:16:00,2025-04-28,False
C3041,A011,O1,L1737,failed,9.6,2025-04-28T17:18:00,2025-04-28,False
C7691,A010,O3,L1334,no_answer,13.32,2025-04-28T23:47:00,2025-04-28,False
C3085,A010,O3,L1196,no_answer,7.14,2025-04-28T22:41:00,2025-04-28,False
C3851,A013,O1,L1630,failed,1.88,2025-04-28T13:51:00,2025-04-28,False
C1006,A018,O1,L1311,failed,10.73,2025-04-28T07:10:00,2025-04-28,False
C6279,A014,O3,L1476,no_answer,11.44,2025-04-28T15:05:00,2025-04-28,False
C9375,A007,O1,L1484,connected,8.46,2025-04-28T22:29:00,2025-04-28,False
C5649,A003,O1,L1527,failed,11.59,2025-04-28T03:11:00,2025-04-28,False
C6085,A008,O1,L1230,connected,7.46,2025-04-28T05:01:00,2025-04-28,False
C1757,A001,O1,L1250,no_answer,7.89,2025-04-28T20:51:00,2025-04-28,False
C8461,A003,O1,L1424,connected,6.47,2025-04-28T23:46:00,2025-04-28,False
C9099,A013,O1,L1409,connected,0.48,2025-04-28T05:02:00,2025-04-28,False
C2746,A001,O1,L1797,no_answer,1.71,2025-04-28T07:28:00,2025-04-28,False
C9486,A006,O1,L1475,completed,0.57,2025-04-28T19:01:00,2025-04-28,False
C2988,A008,O1,L1467,connected,9.58,2025-04-28T15:51:00,2025-04-28,False
C6198,A017,O2,L1972,no_answer,4.78,2025-04-28T20:54:00,2025-04-28,False
C7991,A017,O2,L1850,no_answer,7.68,2025-04-28T05:25:00,2025-04-28,False
C8373,A016,O1,L1265,connected,13.62,2025-04-28T21:45:00,2025-04-28,False
C9540,A009,O3,L1496,connected,3.81,2025-04-28T09:22:00,2025-04-28,False
C2269,A015,O2,L1730,failed,6.21,2025-04-28T08:00:00,2025-04-28,False
C6502,A009,O3,L1327,completed,11.36,2025-04-28T04:43:00,2025-04-28,False
C4788,A005,O3,L1392,connected,3.51,2025-04-28T07:18:00,2025-04-28,False
C7797,A003,O1,L1417,failed,1.25,2025-04-28T18:31:00,2025-04-28,False
C7812,A015,O2,L1063,connected,4.42,2025-04-28T14:20:00,2025-04-28,False
C1320,A013,O1,L1877,no_answer,2.5,2025-04-28T16:16:00,2025-04-28,False
C6763,A001,O1,L1305,no_answer,13.95,2025-04-28T14:18:00,2025-04-28,False
C9947,A018,O1,L1819,connected,12.14,2025-04-28T16:39:00,2025-04-28,False
C5471,A008,O1,L1446,no_answer,9.54,2025-04-28T00:59:00,2025-04-28,False
C6507,A013,O1,L1684,no_answer,13.08,2025-04-28T05:38:00,2025-04-28,False
C3091,A015,O2,L1637,completed,12.07,2025-04-28T13:26:00,2025-04-28,False
C1444,A019,O1,L1085,no_answer,2.88,2025-04-28T04:37:00,2025-04-28,False
C3977,A015,O2,L1051,failed,13.4,2025-04-28T12:56:00,2025-04-28,False
C4467,A011,O1,L1465,failed,8.14,2025-04-28T11:31:00,2025-04-28,False
C5558,A013,O1,L1770,no_answer,12.13,2025-04-28T08:36:00,2025-04-28,False
C8705,A003,O1,L1019,completed,13.45,2025-04-28T11:56:00,2025-04-28,False
C2124,A008,O1,L1799,completed,4.84,2025-04-28T01:03:00,2025-04-28,False
C4266,A008,O1,L1859,completed,1.74,2025-04-28T21:12:00,2025-04-28,False
C4908,A005,O3,L1129,no_answer,3.5,2025-04-28T22:51:00,2025-04-28,False
C4571,A004,O3,L1476,failed,6.46,2025-04-28T12:35:00,2025-04-28,False
C2876,A006,O1,L1796,connected,12.29,2025-04-28T10:37:00,2025-04-28,False
C1420,A004,O3,L1951,failed,12.92,2025-04-28T19:39:00,2025-04-28,False
C7498,A013,O1,L1964,connected,0.2,2025-04-28T02:35:00,2025-04-28,False
C4978,A019,O1,L1104,failed,7.71,2025-04-28T23:21:00,2025-04-28,False
C2983,A020,O2,L1815,completed,6.32,2025-04-28T11:51:00,2025-04-28,False
C8018,A018,O1,L1677,failed,3.41,2025-04-28T02:21:00,2025-04-28,False
C6590,A017,O2,L1012,no_answer,1.89,2025-04-28T16:43:00,2025-04-28,False
C8102,A004,O3,L1983,failed,5.13,2025-04-28T21:41:00,2025-04-28,False
C3506,A015,O2,L1445,connected,14.15,2025-04-28T17:48:00,2025-04-28,False
C9817,A009,O3,L1793,no_answer,4.92,2025-04-28T15:52:00,2025-04-28,False
C5397,A014,O3,L1330,connected,7.83,2025-04-28T02:57:00,2025-04-28,False
C8385,A009,O3,L1249,no_answer,10.57,2025-04-28T19:27:00,2025-04-28,False
C7209,A020,O2,L1344,completed,5.52,2025-04-28T16:52:00,2025-04-28,False
C3979,A011,O1,L1499,connected,14.58,2025-04-28T12:06:00,2025-04-28,False
C6576,A009,O3,L1286,failed,14.44,2025-04-28T18:58:00,2025-04-28,False
C9464,A001,O1,L1970,connected,3.85,2025-04-28T02:55:00,2025-04-28,False
C7658,A008,O1,L1500,connected,7.51,2025-04-28T23:34:00,2025-04-28,False
C9041,A016,O1,L1458,completed,4.58,2025-04-28T03:10:00,2025-04-28,False
C4630,A010,O3,L1414,connected,4.34,2025-04-28T10:27:00,2025-04-28,False
C7046,A019,O1,L1484,failed,0.65,2025-04-28T14:31:00,2025-04-28,False
C6419,A018,O1,L1360,no_answer,9.18,2025-04-28T09:14:00,2025-04-28,False
C5118,A010,O3,L1236,completed,7.59,2025-04-28T06:34:00,2025-04-28,False
C2958,A011,O1,L1760,connected,0.87,2025-04-28T06:32:00,2025-04-28,False
C8933,A007,O1,L1283,failed,4.25,2025-04-28T03:25:00,2025-04-28,False
C5853,A007,O1,L1232,failed,13.63,2025-04-28T06:07:00,2025-04-28,False
C1231,A010,O3,L1725,connected,3.67,2025-04-28T09:21:00,2025-04-28,False
C1893,A002,O1,L1566,failed,2.26,2025-04-28T23:48:00,2025-04-28,False
C9042,A005,O3,L1105,completed,7.39,2025-04-28T19:35:00,2025-04-28,False
C8690,A010,O3,L1490,no_answer,14.79,2025-04-28T11:37:00,2025-04-28,False
C1841,A006,O1,L1258,no_answer,3.71,2025-04-28T03:53:00,2025-04-28,False
C7565,A003,O1,L1503,completed,10.11,2025-04-28T19:41:00,2025-04-28,False
C3485,A002,O1,L1152,failed,11.45,2025-04-28T02:54:00,2025-04-28,False
C2940,A008,O1,L1571,no_answer,3.64,2025-04-28T20:41:00,2025-04-28,False
C4697,A020,O2,L1794,no_answer,10.95,2025-04-28T15:22:00,2025-04-28,False
C5871,A015,O2,L1880,no_answer,5.58,2025-04-28T10:25:00,2025-04-28,False
C1986,A019,O1,L1624,completed,9.52,2025-04-28T07:05:00,2025-04-28,False
C5335,A007,O1,L1676,completed,9.54,2025-04-28T05:21:00,2025-04-28,False
C3847,A008,O1,L1565,completed,8.08,2025-04-28T05:20:00,2025-04-28,False
C7693,A001,O1,L1461,no_answer,1.45,2025-04-28T09:56:00,2025-04-28,False
C4792,A002,O1,L1295,failed,12.55,2025-04-28T23:59:00,2025-04-28,False
C2166,A015,O2,L1703,connected,4.88,2025-04-28T09:01:00,2025-04-28,False
C4241,A019,O1,L1435,completed,2.88,2025-04-28T18:35:00,2025-04-28,False
C3441,A008,O1,L1930,failed,0.71,2025-04-28T04:51:00,2025-04-28,False
C1977,A003,O1,L1169,failed,8.9,2025-04-28T20:18:00,2025-04-28,False
C5728,A019,O1,L1449,completed,10.2,2025-04-28T15:59:00,2025-04-28,False
C7594,A010,O3,L1965,failed,0.35,2025-04-28T17:04:00,2025-04-28,False
C9090,A018,O1,L1448,completed,7.73,2025-04-28T20:24:00,2025-04-28,False
C8078,A002,O1,L1752,failed,3.47,2025-04-28T20:36:00,2025-04-28,False
C1423,A009,O3,L1093,connected,9.71,2025-04-28T23:00:00,2025-04-28,False
C1339,A019,O1,L1783,failed,2.7,2025-04-28T19:40:00,2025-04-28,False
C3870,A002,O1,L1481,no_answer,10.39,2025-04-28T09:29:00,2025-04-28,False
C8141,A006,O1,L1650,no_answer,5.86,2025-04-28T03:06:00,2025-04-28,False
C6700,A016,O1,L1418,failed,14.06,2025-04-28T10:57:00,2025-04-28,False
C3634,A004,O3,L1337,no_answer,2.15,2025-04-28T23:40:00,2025-04-28,False
C5722,A016,O1,L1678,no_answer,5.18,2025-04-28T18:46:00,2025-04-28,False
C8451,A002,O1,L1090,failed,1.79,2025-04-28T08:36:00,2025-04-28,False
C2899,A011,O1,L1993,no_answer,13.88,2025-04-28T17:33:00,2025-04-28,False
C9889,A001,O1,L1473,no_answer,13.17,2025-04-28T01:51:00,2025-04-28,False
C9494,A007,O1,L1370,no_answer,3.94,2025-04-28T21:20:00,2025-04-28,False
C1845,A015,O2,L1208,failed,9.93,2025-04-28T18:44:00,2025-04-28,False
C5719,A005,O3,L1448,no_answer,12.28,2025-04-28T04:08:00,2025-04-28,False
C4920,A001,O1,L1726,connected,8.37,2025-04-28T10:36:00,2025-04-28,False
C1224,A018,O1,L1565,no_answer,7.99,2025-04-28T03:10:00,2025-04-28,False
C2858,A008,O1,L1472,completed,3.7,2025-04-28T22:06:00,2025-04-28,False
C9165,A005,O3,L1955,failed,1.49,2025-04-28T17:22:00,2025-04-28,False
C7807,A009,O3,L1854,no_answer,13.47,2025-04-28T16:07:00,2025-04-28,False
C8483,A008,O1,L1564,connected,13.52,2025-04-28T13:05:00,2025-04-28,False
C9327,A007,O1,L1764,connected,9.53,2025-04-28T02:22:00,2025-04-28,False
C7798,A009,O3,L1348,failed,5.15,2025-04-28T00:05:00,2025-04-28,False
C5891,A010,O3,L1857,no_answer,5.3,2025-04-28T05:04:00,2025-04-28,False
C9824,A015,O2,L1495,failed,10.92,2025-04-28T11:20:00,2025-04-28,False
C9903,A018,O1,L1386,no_answer,13.47,2025-04-28T10:59:00,2025-04-28,False
C4912,A007,O1,L1585,no_answer,13.32,2025-04-28T07:58:00,2025-04-28,False
C1715,A014,O3,L1325,no_answer,11.72,2025-04-28T13:00:00,2025-04-28,False
C3492,A013,O1,L1507,completed,9.67,2025-04-28T04:18:00,2025-04-28,False
C6439,A017,O2,L1890,completed,1.35,2025-04-28T15:01:00,2025-04-28,False
C9617,A004,O3,L1932,no_answer,2.51,2025-04-28T00:31:00,2025-04-28,False
C7717,A005,O3,L1891,connected,13.49,2025-04-28T02:33:00,2025-04-28,False
C5342,A016,O1,L1346,no_answer,9.14,2025-04-28T22:10:00,2025-04-28,False
C6383,A003,O1,L1872,no_answer,0.24,2025-04-28T10:48:00,2025-04-28,False
C9864,A016,O1,L1036,completed,1.61,2025-04-28T08:00:00,2025-04-28,False
C4727,A010,O3,L1764,completed,9.99,2025-04-28T14:48:00,2025-04-28,False
C2646,A004,O3,L1454,connected,0.18,2025-04-28T23:41:00,2025-04-28,False
C1474,A010,O3,L1047,failed,2.5,2025-04-28T01:54:00,2025-04-28,False
C6873,A010,O3,L1383,no_answer,8.28,2025-04-28T04:58:00,2025-04-28,False
C9702,A008,O1,L1421,connected,10.41,2025-04-28T05:48:00,2025-04-28,False
C2293,A006,O1,L1624,no_answer,9.81,2025-04-28T21:09:00,2025-04-28,False
C9153,A008,O1,L1934,connected,3.44,2025-04-28T07:55:00,2025-04-28,False
C5161,A015,O2,L1470,failed,10.71,2025-04-28T22:45:00,2025-04-28,False
C8622,A001,O1,L1922,failed,3.64,2025-04-28T23:07:00,2025-04-28,False
C3588,A018,O1,L1075,no_answer,4.95,2025-04-28T11:47:00,2025-04-28,False
C5901,A019,O1,L1654,no_answer,11.22,2025-04-28T23:33:00,2025-04-28,False
C8484,A009,O3,L1865,failed,9.78,2025-04-28T06:47:00,2025-04-28,False
C8916,A013,O1,L1109,connected,12.75,2025-04-28T13:01:00,2025-04-28,False
C6881,A019,O1,L1588,failed,9.9,2025-04-28T23:52:00,2025-04-28,False
C1359,A010,O3,L1849,no_answer,8.57,2025-04-28T09:22:00,2025-04-28,False
C1803,A001,O1,L1932,no_answer,1.5,2025-04-28T09:46:00,2025-04-28,False
C6772,A008,O1,L1224,connected,5.58,2025-04-28T21:11:00,2025-04-28,False
C3240,A009,O3,L1643,completed,4.05,2025-04-28T21:25:00,2025-04-28,False
C6061,A002,O1,L1807,no_answer,3.74,2025-04-28T01:08:00,2025-04-28,False
C6977,A019,O1,L1749,connected,14.6,2025-04-28T03:04:00,2025-04-28,False
C6352,A010,O3,L1765,no_answer,5.96,2025-04-28T05:59:00,2025-04-28,False
C3165,A007,O1,L1805,failed,13.39,2025-04-28T18:07:00,2025-04-28,False
C5465,A017,O2,L1850,connected,9.5,2025-04-28T08:46:00,2025-04-28,False
C5835,A016,O1,L1764,failed,11.94,2025-04-28T03:55:00,2025-04-28,False
C2233,A015,O2,L1144,connected,7.59,2025-04-28T23:05:00,2025-04-28,False
C6992,A013,O1,L1092,no_answer,8.7,2025-04-28T00:28:00,2025-04-28,False
C9791,A009,O3,L1126,no_answer,7.44,2025-04-28T12:34:00,2025-04-28,False
C7242,A009,O3,L1842,failed,3.01,2025-04-28T03:41:00,2025-04-28,False
C8724,A008,O1,L1025,failed,10.86,2025-04-28T20:49:00,2025-04-28,False
C2035,A008,O1,L1650,no_answer,4.28,2025-04-28T23:55:00,2025-04-28,False
C7689,A010,O3,L1119,connected,0.46,2025-04-28T01:32:00,2025-04-28,False
C5986,A002,O1,L1504,completed,9.72,2025-04-28T03:19:00,2025-04-28,False
C9807,A008,O1,L1138,no_answer,2.74,2025-04-28T15:29:00,2025-04-28,False
C9850,A012,O3,L1429,connected,14.11,2025-04-28T14:09:00,2025-04-28,False
C9017,A004,O3,L1630,no_answer,14.31,2025-04-28T09:32:00,2025-04-28,False
C7070,A002,O1,L1222,no_answer,13.73,2025-04-28T15:10:00,2025-04-28,False
C6942,A008,O1,L1101,failed,5.62,2025-04-28T18:35:00,2025-04-28,False
C1992,A012,O3,L1407,failed,0.33,2025-04-28T06:28:00,2025-04-28,False
C8450,A004,O3,L1093,connected,13.93,2025-04-28T21:54:00,2025-04-28,False
C1349,A020,O2,L1051,failed,6.48,2025-04-28T08:18:00,2025-04-28,False
C4362,A005,O3,L1070,connected,14.5,2025-04-28T20:00:00,2025-04-28,False
C4817,A007,O1,L1336,connected,14.46,2025-04-28T20:20:00,2025-04-28,False
C5542,A001,O1,L1879,connected,12.81,2025-04-28T04:26:00,2025-04-28,False
C5106,A018,O1,L1817,connected,4.49,2025-04-28T03:45:00,2025-04-28,False
C3159,A001,O1,L1015,failed,5.84,2025-04-28T08:07:00,2025-04-28,False
C6304,A019,O1,L1016,connected,12.78,2025-04-28T09:03:00,2025-04-28,False
C3076,A002,O1,L1759,no_answer,4.82,2025-04-28T17:57:00,2025-04-28,False
C2041,A004,O3,L1487,no_answer,2.63,2025-04-28T12:21:00,2025-04-28,False
C2786,A017,O2,L1462,connected,8.4,2025-04-28T20:59:00,2025-04-28,False
C9543,A002,O1,L1308,no_answer,14.05,2025-04-28T21:57:00,2025-04-28,False
C1996,A001,O1,L1490,no_answer,10.47,2025-04-28T14:33:00,2025-04-28,False
C9032,A004,O3,L1729,no_answer,8.59,2025-04-28T02:30:00,2025-04-28,False
C6277,A003,O1,L1622,connected,1.55,2025-04-28T02:14:00,2025-04-28,False
C5505,A005,O3,L1639,failed,9.26,2025-04-28T13:00:00,2025-04-28,False
C9692,A020,O2,L1301,no_answer,14.85,2025-04-28T17:15:00,2025-04-28,False
C8048,A020,O2,L1101,completed,2.19,2025-04-28T22:20:00,2025-04-28,False
C4522,A018,O1,L1440,no_answer,7.82,2025-04-28T07:47:00,2025-04-28,False
C6553,A014,O3,L1847,no_answer,13.17,2025-04-28T13:36:00,2025-04-28,False
C2557,A014,O3,L1320,no_answer,11.14,2025-04-28T10:40:00,2025-04-28,False
C7132,A009,O3,L1976,connected,10.49,2025-04-28T23:26:00,2025-04-28,False
C2099,A016,O1,L1093,completed,10.57,2025-04-28T03:10:00,2025-04-28,False
C2582,A014,O3,L1762,failed,5.46,2025-04-28T04:26:00,2025-04-28,False
C1982,A018,O1,L1600,failed,4.47,2025-04-28T22:52:00,2025-04-28,False
C7730,A004,O3,L1362,no_answer,12.16,2025-04-28T01:45:00,2025-04-28,False
C6119,A010,O3,L1360,completed,12.17,2025-04-28T19:43:00,2025-04-28,False
C4485,A017,O2,L1158,no_answer,13.02,2025-04-28T07:39:00,2025-04-28,False
C6736,A004,O3,L1865,failed,13.71,2025-04-28T03:55:00,2025-04-28,False
C4705,A009,O3,L1826,no_answer,7.72,2025-04-28T19:08:00,2025-04-28,False
C1430,A020,O2,L1623,failed,7.57,2025-04-28T00:59:00,2025-04-28,False
C5477,A006,O1,L1719,failed,11.99,2025-04-28T11:35:00,2025-04-28,False
C1100,A012,O3,L1185,connected,9.78,2025-04-28T19:19:00,2025-04-28,False
C2140,A013,O1,L1145,completed,10.56,2025-04-28T03:07:00,2025-04-28,False
C4524,A017,O2,L1385,no_answer,11.96,2025-04-28T15:29:00,2025-04-28,False
C3578,A011,O1,L1378,failed,13.36,2025-04-28T11:04:00,2025-04-28,False
C2391,A019,O1,L1904,completed,5.14,2025-04-28T05:18:00,2025-04-28,False
C1815,A006,O1,L1690,completed,5.7,2025-04-28T09:17:00,2025-04-28,False
C7947,A015,O2,L1497,no_answer,1.5,2025-04-28T14:08:00,2025-04-28,False
C4531,A009,O3,L1773,completed,8.72,2025-04-28T11:46:00,2025-04-28,False
C2816,A014,O3,L1290,no_answer,0.64,2025-04-28T17:59:00,2025-04-28,False
C1744,A010,O3,L1225,no_answer,7.04,2025-04-28T20:27:00,2025-04-28,False
C1125,A002,O1,L1209,failed,8.19,2025-04-28T07:12:00,2025-04-28,False
C5186,A005,O3,L1296,failed,4.37,2025-04-28T04:05:00,2025-04-28,False
C9149,A001,O1,L1764,no_answer,8.9,2025-04-28T05:59:00,2025-04-28,False
C7229,A005,O3,L1545,connected,0.55,2025-04-28T17:04:00,2025-04-28,False
C6802,A018,O1,L1073,no_answer,0.66,2025-04-28T01:26:00,2025-04-28,False
C1307,A014,O3,L1470,completed,12.36,2025-04-28T10:41:00,2025-04-28,False
C8033,A019,O1,L1587,no_answer,5.47,2025-04-28T21:51:00,2025-04-28,False
C5743,A014,O3,L1117,no_answer,1.99,2025-04-28T00:42:00,2025-04-28,False
C3815,A011,O1,L1820,no_answer,7.88,2025-04-28T23:32:00,2025-04-28,False
C2443,A012,O3,L1447,completed,11.57,2025-04-28T08:18:00,2025-04-28,False
C7560,A014,O3,L1536,completed,3.32,2025-04-28T13:30:00,2025-04-28,False
C6562,A010,O3,L1226,failed,9.38,2025-04-28T05:44:00,2025-04-28,False
C9363,A003,O1,L1648,completed,1.37,2025-04-28T18:06:00,2025-04-28,False
C4176,A017,O2,L1927,failed,0.87,2025-04-28T11:59:00,2025-04-28,False
C4871,A005,O3,L1105,connected,8.02,2025-04-28T08:44:00,2025-04-28,False
C3842,A007,O1,L1616,connected,8.16,2025-04-28T22:22:00,2025-04-28,False
C3902,A003,O1,L1974,no_answer,9.6,2025-04-28T15:50:00,2025-04-28,False
C8354,A019,O1,L1697,failed,10.92,2025-04-28T21:24:00,2025-04-28,False
C3473,A011,O1,L1450,completed,14.64,2025-04-28T16:00:00,2025-04-28,False
C5961,A015,O2,L1815,failed,7.79,2025-04-28T20:11:00,2025-04-28,False
C6766,A002,O1,L1519,completed,4.91,2025-04-28T10:35:00,2025-04-28,False
C8404,A015,O2,L1038,completed,11.95,2025-04-28T12:35:00,2025-04-28,False
C2257,A010,O3,L1660,completed,4.14,2025-04-28T20:59:00,2025-04-28,False
C9307,A020,O2,L1393,no_answer,6.64,2025-04-28T19:48:00,2025-04-28,False
C1672,A018,O1,L1460,connected,1.27,2025-04-28T10:58:00,2025-04-28,False
C8792,A020,O2,L1513,connected,0.48,2025-04-28T02:06:00,2025-04-28,False
C2695,A015,O2,L1830,failed,14.44,2025-04-28T02:52:00,2025-04-28,False
C3827,A017,O2,L1040,connected,12.56,2025-04-28T14:56:00,2025-04-28,False
C9586,A015,O2,L1535,connected,10.47,2025-04-28T12:25:00,2025-04-28,False
C5634,A012,O3,L1396,no_answer,6.19,2025-04-28T11:32:00,2025-04-28,False
C1857,A020,O2,L1808,failed,2.68,2025-04-28T02:14:00,2025-04-28,False
